months,wuhan COM TRACKING,wuhan ADM TRACKING,wuhan RES TRACKING,NOP COM,NOP ADM,NOP RES,SUM
oct,2.4363221884498483,37.31596377912867,50.3433320668693,43,2317,9326,11686
nov,0.6631775582573455,16.099981003039513,25.76922492401216,5,199,8872,9076
dec,1.8680281155015197,32.164203394123604,39.62073201621074,52,2683,10618,13353
jan,0.27189083080040527,10.843712006079027,21.192477203647414,0,1,8447,8448
feb,0.661493161094225,14.804097011144885,23.906623606889568,4,113,8382,8499
mar,0.3479229989868288,11.285290020263425,22.16442502532928,0,0,8664,8664
apr,2.172004812563323,34.679103343465044,45.542895136778114,40,2204,9672,11916
may,1.5581813576494428,30.077273302938195,39.656927558257344,29,1979,9442,11450
jun,0.6036094224924011,14.172941995947316,25.315609169199593,3,57,9397,9457
